calib_59_real.png (212, 128) 26
calib_9_real.png (214, 261) 28
calib_110_real.png (157, 74) 31
calib_132_real.png (190, 216) 17
calib_25_real.png (145, 276) 27
calib_164_real.png (174, 187) 26
calib_149_real.png (167, 103) 27
calib_43_real.png (127, 186) 32
calib_50_real.png (215, 179) 29
calib_70_real.png (100, 171) 30
calib_154_real.png (207, 178) 22
calib_77_real.png (101, 263) 25
calib_100_real.png (204, 98) 31
calib_66_real.png (125, 129) 29
calib_54_real.png (237, 182) 30
calib_119_real.png (199, 127) 29
calib_33_real.png (170, 245) 29
calib_1_real.png (208, 247) 25
calib_39_real.png (107, 189) 28
calib_123_real.png (222, 43) 25
calib_127_real.png (216, 113) 22
calib_92_real.png (237, 216) 32
