calib_59.png (209, 127) 29
calib_9.png (214, 260) 29
calib_110.png (157, 76) 34
calib_132.png (190, 216) 18
calib_25.png (143, 277) 30
calib_164.png (174, 189) 28
calib_149.png (165, 103) 30
calib_43.png (125, 185) 36
calib_50.png (214, 179) 32
calib_70.png (100, 170) 32
calib_154.png (207, 176) 26
calib_77.png (102, 262) 26
calib_100.png (203, 99) 33
calib_66.png (124, 129) 32
calib_54.png (234, 181) 35
calib_119.png (198, 127) 32
calib_33.png (169, 243) 34
calib_1.png (209, 246) 26
calib_39.png (107, 190) 29
calib_123.png (221, 43) 27
calib_127.png (216, 114) 24
calib_92.png (236, 216) 35
